Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0402_1005Metric,133.225,-86.07,-90.0,top
C10,1uF,C_0402_1005Metric,121.07,-95.856,-90.0,top
C11,100n,C_0402_1005Metric,115.95,-95.8,-90.0,top
C12,100n,C_0402_1005Metric,111.945,-90.7,180.0,top
C13,100n,C_0402_1005Metric,116.17,-85.375,90.0,top
C14,100n,C_0402_1005Metric,122.41,-86.28,0.0,top
C15,100n,C_0402_1005Metric,123.0,-90.95,0.0,top
C2,10uF,C_0402_1005Metric,126.92,-85.79,90.0,top
C3,100n,C_0402_1005Metric,125.9,-85.8,90.0,top
C4,10pF,C_0402_1005Metric,111.5,-88.18,90.0,top
C5,10pF,C_0402_1005Metric,106.15,-91.03,90.0,top
C6,100n,C_0402_1005Metric,122.995,-89.975,0.0,top
C7,100n,C_0402_1005Metric,111.945,-91.675,180.0,top
C8,1uF,C_0402_1005Metric,123.0,-93.95,0.0,top
C9,100n,C_0402_1005Metric,120.025,-95.85,-90.0,top
D1,D_Schottky,D_SOD-123,134.0,-94.25,-90.0,top
J2,Conn_01x02_Pin,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,128.49,-92.72,0.0,top
J3,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,138.885,-90.6,90.0,top
J7,Conn_01x02_Pin,JST_ZH_B2B-ZR_1x02_P1.50mm_Vertical,108.15,-87.175,180.0,top
J8,Conn_01x02_Pin,JST_ZH_B2B-ZR_1x02_P1.50mm_Vertical,108.15,-95.225,180.0,top
R1,1k,R_0402_1005Metric,124.87,-85.84,90.0,top
R2,1k,R_0402_1005Metric,111.965,-89.7,180.0,top
R3,27,R_0402_1005Metric,122.985,-91.95,180.0,top
R4,27,R_0402_1005Metric,122.985,-92.95,180.0,top
R5,DNF,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,124.82,-86.89,180.0,bottom
R6,10k,R_0402_1005Metric,111.935,-92.675,0.0,top
R7,5.1k,R_0402_1005Metric,136.82,-96.49,180.0,top
R8,5.1k,R_0402_1005Metric,136.73,-84.67,180.0,top
U1,RP2040,QFN56P40_700X700X90L40X18T310N,117.1448,-90.551,180.0,top
U2,AMS1117-3.3,SOT-89-3,130.075,-87.075,180.0,top
U4,W25Q16JVSS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,124.625,-88.1,0.0,top
U5,ProMicro,ProMicro,120.72,-90.73,-90.0,top
Y1,X322512MSB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,108.775,-90.75,0.0,top
